subj	trialNr	pos1	pos2	pos3	pos4	time1	time2	time3	timeText	reaTime	rX	rY	task
40	72	-0.150000011324882	2.23517418115882e-10	0.150000000596046	0.300000021457672	0.9	0.9	0.9	706.5998851	707.1734607	0.0509973913431168	-0.299132972955704	viz.VizText(50)
40	73	-0.140000005960464	0.0100000002235174	0.160000005960464	0.310000011920929	0.9	0.9	0.9	739.2598774	739.6154146	0.32207852602005	-0.141229748725891	viz.VizText(49)
40	74	-0.130000000596046	0.0199999997764826	0.170000011324883	0.320000002384186	1.5	1.5	1.5	749.1670758	749.6261924	0.398286402225494	-0.216279536485672	viz.VizText(49)
40	75	2.23517418115882e-10	0.04999999538064	0.100000003576279	0.150000000596046	1.5	1.5	1.5	759.1888127	760.5770317	0.024053156375885	-0.303776264190674	viz.VizText(49)
40	76	-0.0900000014901161	0.0100000002235174	0.110000001490116	0.210000002980232	0.3	0.3	0.3	766.5420452	771.0945373	0.0610820092260838	-0.489433020353317	viz.VizText(49)
40	77	-0.100000003576279	-2.23517418115882e-10	0.0999999994039536	0.20000000834465	0.3	0.3	0.3	777.0658695	779.1093344	0.112485654652119	-0.458942592144012	viz.VizText(50)
40	78	-0.0900000014901161	0.00999999977648259	0.110000001490116	0.210000002980232	0.9	0.9	0.9	786.8506536	787.7612595	0.195948839187622	-0.444226533174515	viz.VizText(49)
40	79	-0.0800000035762787	0.0199999997764826	0.119999999403954	0.22000000834465	0.3	0.3	0.3	793.72988	795.6390009	0.386398673057556	-0.42237314581871	viz.VizText(49)
40	80	0.0100000002235174	0.0599999970197678	0.110000001490116	0.160000005960464	0.9	0.9	0.9	803.387986	803.6877402	0.414636313915253	-0.431223839521408	viz.VizText(49)
40	81	-0.119999995231628	0.0299999995529652	0.180000016689301	0.329999992847443	0.9	0.9	0.9	811.4646568	812.0731437	0.612267553806305	-0.185825884342194	viz.VizText(50)
40	82	-0.109999997317791	0.0399999993294477	0.190000022053719	0.339999983310699	1.5	1.5	1.5	821.6357224	827.6013686	0.691136598587036	-0.276334762573242	viz.VizText(50)
40	83	0.0199999997764826	0.0699999986588955	0.119999999403954	0.170000011324883	0.9	0.9	0.9	835.3570651	836.6181919	-0.137164101004601	-0.1801518201828	viz.VizText(49)
40	84	-0.119999999403954	0.0299999991059303	0.180000027418137	0.329999973773956	0.3	0.3	0.3	842.5734697	843.3486181	0.352405697107315	-0.261940717697144	viz.VizText(49)
40	85	-0.0900000056624412	0.00999999955296516	0.109999997317791	0.210000013709068	0.9	0.9	0.9	851.1045907	858.8222999	0.445459872484207	-0.496509313583374	viz.VizText(50)
40	86	0.00999999955296516	0.0600000002980232	0.109999997317791	0.160000016689301	0.9	0.9	0.9	866.5990133	870.3415512	0.46096533536911	-0.446655005216599	viz.VizText(49)
40	87	-0.129999997317791	0.0199999993294477	0.170000022053719	0.319999983310699	0.9	0.9	0.9	878.1056123	878.7585069	0.529771327972412	-0.474318772554398	viz.VizText(49)
40	88	-0.139999995231628	0.00999999955296516	0.160000016689301	0.309999992847443	0.9	0.9	0.9	886.5193267	887.0897524	0.501304566860199	-0.487100780010223	viz.VizText(49)
40	89	-2.23517418115882e-10	0.0499999986588955	0.0999999994039536	0.150000011324882	0.9	0.9	0.9	894.8711941	895.7194489	0.595548510551453	-0.394074469804764	viz.VizText(50)
40	90	-0.100000003576279	-2.23517418115882e-10	0.0999999994039536	0.20000000834465	0.9	0.9	0.9	903.4931988	906.603581	0.627113401889801	-0.202847346663475	viz.VizText(50)
40	91	0.00999999977648259	0.0599999970197678	0.110000001490116	0.160000005960464	1.5	1.5	1.5	916.1854043	918.3973163	0.737990319728851	-0.355547845363617	viz.VizText(49)
40	92	-0.110000001490116	-0.0100000002235174	0.0900000014901161	0.190000002980232	0.9	0.9	0.9	926.1488186	927.0027538	0.517365217208862	-0.396769016981125	viz.VizText(50)
40	93	-2.23517418115882e-10	0.0499999986588955	0.0999999994039536	0.150000011324882	1.5	1.5	1.5	936.5664026	937.1865029	0.272091180086136	-0.378710746765137	viz.VizText(50)
40	94	-0.0100000002235174	0.0399999970197678	0.0900000014901161	0.140000005960464	1.5	1.5	1.5	946.7490731	948.8814539	0.552448511123657	-0.508467793464661	viz.VizText(49)
40	95	2.23517418115882e-10	0.04999999538064	0.100000003576279	0.150000000596046	0.3	0.3	0.3	954.8395321	956.3371913	0.647608697414398	-0.286390870809555	viz.VizText(50)
40	96	-0.130000000596046	0.0199999997764826	0.170000011324883	0.320000002384186	0.3	0.3	0.3	962.3127506	963.023946	0.261709153652191	-0.335998713970184	viz.VizText(50)
40	97	-0.0999999994039536	2.23517418115882e-10	0.100000003576279	0.199999997615814	1.5	1.5	1.5	972.5966842	973.1078021	0.750051617622375	-0.0096157044172287	viz.VizText(50)
40	98	-0.00999999977648259	0.0399999970197678	0.0900000014901161	0.140000005960464	0.3	0.3	0.3	979.0516404	980.5273343	0.665555715560913	-0.0938442200422287	viz.VizText(49)
40	99	-0.0900000014901161	0.0100000002235174	0.110000001490116	0.210000002980232	0.9	0.9	0.9	988.3023115	989.7574405	-0.460712522268295	-0.35538038611412	viz.VizText(49)
40	100	-0.0199999997764826	0.02999999538064	0.0800000035762787	0.130000000596046	0.3	0.3	0.3	995.7219072	996.2100556	0	0.00999999977648258	viz.VizText(49)
40	101	-0.0800000035762787	0.0199999997764826	0.119999999403954	0.22000000834465	0.9	0.9	0.9	1003.9738974	1004.1070523	-0.952884614467621	-0.276777356863022	viz.VizText(50)
40	102	-0.0299999995529652	0.0199999956041574	0.0700000056624413	0.119999995231628	0.9	0.9	0.9	1011.8807487	1012.66957	-0.879883289337158	-0.358176290988922	viz.VizText(50)
40	103	-0.119999995231628	0.0299999995529652	0.180000016689301	0.329999992847443	0.9	0.9	0.9	1020.4332107	1023.7652175	-0.327609539031982	-0.246794164180756	viz.VizText(49)
40	104	-0.0700000056624413	0.0299999995529652	0.129999997317791	0.230000013709068	0.3	0.3	0.3	1029.7473856	1030.1245133	-0.722310602664948	0.476125240325928	viz.VizText(50)
40	105	-0.0199999993294477	0.0299999958276749	0.0800000077486038	0.129999997317791	1.5	1.5	1.5	1039.6887431	1040.5450468	-0.205116480588913	0.280585467815399	viz.VizText(49)
