subj	trialNr	pos1	pos2	pos3	time1	time2	timelastBall	ansx	ansy	ansz	reaTime
38	54	-0.0699999982118607	-0.0199999993294477	0.0299999995529652	1.5	1.5	463.5213324	0.191079139709473	1.21851885318756	-0.158308267593384	465.0872514
38	55	-0.0700000056624413	0.0299999995529652	0.129999997317791	0.3	0.3	470.2306748	0.287163972854614	1.24470102787018	-0.165052890777588	470.4650373
38	56	-0.180000027418137	-0.0299999991059303	0.119999999403954	0.3	0.3	475.6224257	0.326045274734497	1.21974551677704	-0.164467453956604	475.9425993
38	57	-0.0800000002980232	-0.0299999995529652	0.0199999993294477	0.3	0.3	481.084971	0.13686728477478	1.20722055435181	-0.166463851928711	481.4185879
38	58	-0.0800000077486038	0.0199999993294477	0.119999995231628	0.9	0.9	487.772708	0.273686647415161	1.1970921754837	-0.16857635974884	488.6030373
38	59	-0.190000022053719	-0.0399999993294477	0.109999997317791	0.9	0.9	494.9462806	0.310834646224976	1.19154274463654	-0.165464401245117	495.8124864
38	60	-0.0699999982118607	-0.0199999993294477	0.0299999995529652	0.9	0.9	502.1654442	0.126095533370972	1.16337621212006	-0.161957502365112	502.926609
38	61	-0.0700000056624413	0.0299999995529652	0.129999997317791	1.5	1.5	510.4727851	0.249123811721802	1.18685209751129	-0.177751183509827	511.5719011
38	62	-0.180000027418137	-0.0299999991059303	0.119999999403954	1.5	1.5	519.1350301	0.309777736663818	1.194953083992	-0.195732951164246	520.477098
38	63	-0.0600000002980232	-0.00999999955296516	0.0399999993294477	1.5	1.5	528.0163359	0.168623685836792	1.18651688098907	-0.161067128181458	529.0317542
38	64	-0.0600000077486038	0.0399999993294477	0.139999995231628	0.3	0.3	534.1847394	0.284990072250366	1.22354483604431	-0.23932957649231	534.5819143
38	65	-0.170000022053719	-0.0199999993294477	0.129999997317791	0.3	0.3	539.7484627	0.285600423812866	1.19601953029633	-0.200109601020813	540.060107
38	66	-0.0699999986588955	-0.0199999997764826	0.0299999991059303	0.3	0.3	545.2132716	0.132795810699463	1.18230164051056	-0.167232275009155	545.4246754
38	67	-0.0500000061094761	0.0499999991059303	0.150000000596046	0.9	0.9	551.7868305	0.293570041656494	1.24082016944885	-0.20047926902771	552.6165405
38	68	-0.160000016689301	-0.00999999955296516	0.139999995231628	0.9	0.9	558.9511126	0.343050003051758	1.22241342067719	-0.192446231842041	559.6731184
38	69	-0.0600000002980232	-0.00999999955296516	0.0399999993294477	0.9	0.9	566.0375052	0.137186527252197	1.20871067047119	-0.190158724784851	566.9148814
38	70	-0.0600000044703484	0.0400000007450581	0.140000005960464	1.5	1.5	574.4670501	0.327729463577271	1.19515120983124	-0.217904806137085	575.6290028
38	71	-0.170000011324883	-0.0199999997764826	0.130000000596046	1.5	1.5	583.1841383	0.349885225296021	1.20039939880371	-0.200623273849487	584.458561
38	72	-0.0499999986588955	2.23517418115882e-10	0.0499999991059303	1.5	1.5	592.0136176	0.217859506607056	1.19554555416107	-0.164082050323486	593.2992121
38	73	-0.0500000061094761	0.0499999991059303	0.150000000596046	0.3	0.3	667.9061797	0.343341588973999	1.1756329536438	-0.174964547157288	668.1008574
38	74	-0.180000016689301	-0.0299999995529652	0.119999995231628	0.3	0.3	673.2594023	0.346752643585205	1.22998034954071	-0.199230670928955	673.5452934
38	75	-0.0599999970197678	-0.00999999977648259	0.0400000007450581	0.3	0.3	678.7074622	0.222464084625244	1.19166922569275	-0.167250156402588	679.0457146
38	76	-0.0400000044703484	0.0600000007450581	0.160000005960464	0.9	0.9	685.4076868	0.352719783782959	1.20525145530701	-0.192866086959839	686.1061771
38	77	-0.170000022053719	-0.0199999993294477	0.129999997317791	0.9	0.9	692.4494864	0.381185531616211	1.19085967540741	-0.186817646026611	693.3728011
38	78	-0.0499999986588955	2.23517418115882e-10	0.0499999991059303	0.9	0.9	699.7432646	0.175952672958374	1.22195029258728	-0.177693724632263	700.513334
38	79	-0.0300000028312206	0.0700000023841858	0.170000011324883	1.5	1.5	708.064131	0.304699659347534	1.21042764186859	-0.195509195327759	709.1549655
38	80	-0.180000016689301	-0.0299999995529652	0.119999995231628	1.5	1.5	716.729726	0.38068699836731	1.20118689537048	-0.209050416946411	717.5732132
38	81	-0.0399999970197678	0.0100000002235174	0.0600000007450581	1.5	1.5	725.1227883	0.186560153961182	1.21363842487335	-0.199802279472351	726.2246265
38	82	-0.020000003054738	0.0800000002980232	0.180000016689301	0.3	0.3	731.3671627	0.305287837982178	1.22378373146057	-0.207713842391968	731.7341245
38	83	-0.190000022053719	-0.0399999993294477	0.109999997317791	0.3	0.3	736.8656657	0.308227300643921	1.2023960351944	-0.190792560577393	737.1936449
38	84	-0.04999999538064	-2.23517418115882e-10	0.0500000023841858	0.3	0.3	742.3582338	0.18048882484436	1.21122074127197	-0.197324514389038	742.7407881
38	85	-0.0300000032782555	0.0699999982118607	0.170000022053719	0.9	0.9	749.0999001	0.344113111495972	1.19166433811188	-0.198655843734741	749.770996
38	86	-0.180000027418137	-0.0299999991059303	0.119999999403954	0.9	0.9	756.1351156	0.300146341323853	1.21102201938629	-0.198542594909668	756.9235529
38	87	-0.0599999970197678	-0.0100000002235174	0.0400000007450581	0.9	0.9	763.2876828	0.149676084518433	1.19911789894104	-0.169871807098389	764.1872267
38	88	-0.040000003054738	0.0600000002980232	0.160000016689301	1.5	1.5	771.7391066	0.314856290817261	1.19249296188354	-0.187527179718018	772.9786073
38	89	-0.170000022053719	-0.0199999993294477	0.129999997317791	1.5	1.5	780.5137624	0.353194952011108	1.17919707298279	-0.187013983726501	781.833749
38	90	-0.0699999986588955	-0.0199999997764826	0.0299999991059303	1.5	1.5	789.3754366	0.16217827796936	1.21147906780243	-0.18657398223877	790.7074835
38	91	-0.0500000028312206	0.0499999986588955	0.150000011324882	0.3	0.3	795.8687399	0.284770727157593	1.21345973014832	-0.234759569168091	796.224036
38	92	-0.180000016689301	-0.0299999995529652	0.119999995231628	0.3	0.3	801.3666698	0.300220966339111	1.20265316963196	-0.193172931671143	801.7143711
38	93	-0.0800000002980232	-0.0299999995529652	0.0199999993294477	0.3	0.3	806.8674135	0.139020681381226	1.21328675746918	-0.19623589515686	807.1912127
38	94	-0.0600000044703484	0.0399999970197678	0.140000005960464	0.9	0.9	813.561223	0.292549610137939	1.18639528751373	-0.165224432945251	814.316254
